T07,"Enrolment in primary, secondary and tertiary education levels",,,,,
Region/Country/Area,,Year,Series,Value,Footnotes,Source
202,"Sub-Saharan Africa",2005,"Students enrolled in primary education (thousands)",113401.83,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
202,"Sub-Saharan Africa",2005,"Gross enrollement ratio - Primary (male)",99.8912,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
202,"Sub-Saharan Africa",2005,"Gross enrollment ratio - Primary (female)",88.0767,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
202,"Sub-Saharan Africa",2005,"Students enrolled in secondary education (thousands)",32017.7307,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
202,"Sub-Saharan Africa",2005,"Gross enrollment ratio - Secondary (male)",35.5649,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
202,"Sub-Saharan Africa",2005,"Gross enrollment ratio - Secondary (female)",27.801,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
202,"Sub-Saharan Africa",2005,"Students enrolled in tertiary education (thousands)",4073.9539,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
202,"Sub-Saharan Africa",2005,"Gross enrollment ratio - Tertiary (male)",7.0335,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
202,"Sub-Saharan Africa",2005,"Gross enrollment ratio - Tertiary (female)",4.684,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
202,"Sub-Saharan Africa",2010,"Students enrolled in primary education (thousands)",135890.7025,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
